Generated by pymatgen.io.lammps.data.LammpsData

1157  atoms

   1  atom types

0.000000 57.106000  xlo xhi
0.000000 57.106000  ylo yhi
0.000000 57.106000  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847

Atoms

4338   1  1 15.703103 24.268367 24.268380
4340   1  1 15.703644 24.268719 27.124811
4342   1  1 15.703533 24.268629 29.981174
4344   1  1 15.702793 24.268182 32.837691
4378   1  1 15.703954 27.124303 24.268678
4380   1  1 15.704659 27.124009 27.124841
4382   1  1 15.704558 27.123962 29.981316
4384   1  1 15.703659 27.124252 32.837454
4418   1  1 15.704334 29.980024 24.269248
4420   1  1 15.705086 29.979288 27.125207
4422   1  1 15.704957 29.979333 29.980877
4424   1  1 15.704051 29.980130 32.836866
4460   1  1 15.704799 32.835030 27.125309
5060   1  1 18.555939 18.555951 27.124718
5062   1  1 18.555783 18.555791 29.980932
5096   1  1 18.554142 21.409485 21.409462
5098   1  1 18.555768 21.410846 24.267767
5099   1  1 17.128836 19.984188 25.696676
5100   1  1 18.556221 21.411482 27.124602
5101   1  1 17.128898 19.984242 28.552838
5102   1  1 18.555826 21.411099 29.981017
5104   1  1 18.554820 21.410036 32.838334
5136   1  1 18.554930 24.266817 21.409375
5137   1  1 17.128876 22.839249 22.839262
5138   1  1 18.556701 24.266464 24.266684
5139   1  1 17.129949 22.840083 25.696429
5140   1  1 18.557940 24.267758 27.124724
5141   1  1 17.130085 22.840324 28.552915
5142   1  1 18.557494 24.267312 29.981784
5143   1  1 17.129542 22.839754 31.409561
5144   1  1 18.555522 24.265522 32.840196
5145   1  1 17.128216 22.838835 34.266975
5146   1  1 18.553805 24.266320 35.697261
5176   1  1 18.556037 27.124423 21.410229
5177   1  1 17.129980 25.695946 22.839481
5178   1  1 18.558217 27.123477 24.267285
5179   1  1 17.131319 25.695795 25.696139
5180   1  1 18.559792 27.122779 27.124469
5181   1  1 17.131630 25.696032 28.553195
5182   1  1 18.559380 27.122546 29.982836
5183   1  1 17.130864 25.695475 31.410289
5184   1  1 18.557148 27.123276 32.839729
5185   1  1 17.129330 25.695720 34.266798
5186   1  1 18.554988 27.124353 35.696439
5216   1  1 18.556822 29.981261 21.411131
5217   1  1 17.130748 28.552453 22.840198
5218   1  1 18.558918 29.979970 24.268430
5219   1  1 17.132277 28.551559 25.696758
5220   1  1 18.560636 29.978230 27.125556
5221   1  1 17.132796 28.550850 28.553272
5222   1  1 18.560114 29.978423 29.981354
5223   1  1 17.131798 28.551595 31.409719
5224   1  1 18.557878 29.980407 32.838407
5225   1  1 17.130139 28.552545 34.266098
5226   1  1 18.555868 29.981623 35.695477
5256   1  1 18.557398 32.837302 21.412032
5257   1  1 17.131044 31.408454 22.840937
5258   1  1 18.558978 32.835847 24.269167
5259   1  1 17.132414 31.407190 25.697442
5260   1  1 18.559858 32.834945 27.125348
5261   1  1 17.132721 31.406772 28.553067
5262   1  1 18.559511 32.835252 29.980883
5263   1  1 17.131998 31.407404 31.408738
5264   1  1 18.558278 32.836310 32.837089
5265   1  1 17.130533 31.408738 34.265311
5299   1  1 17.131955 34.263171 25.697516
5300   1  1 18.559490 35.690940 27.125179
5301   1  1 17.132118 34.262973 28.552938
5302   1  1 18.559365 35.691120 29.980702
5303   1  1 17.131711 34.263406 31.408461
5858   1  1 21.410706 18.555572 24.268022
5860   1  1 21.411418 18.556213 27.124746
5861   1  1 19.984248 17.128912 28.552907
5862   1  1 21.411189 18.555946 29.981121
5864   1  1 21.410214 18.554951 32.838315
5896   1  1 21.404890 21.404956 21.404371
5897   1  1 19.981753 19.981538 22.838710
5898   1  1 21.408826 21.408871 24.267417
5899   1  1 19.982709 19.982719 25.696212
5900   1  1 21.409579 21.409657 27.124697
5901   1  1 19.982720 19.982736 28.552667
5902   1  1 21.408590 21.408631 29.980990
5903   1  1 19.981941 19.981927 31.409459
5904   1  1 21.406173 21.406105 32.840043
5905   1  1 19.980551 19.980488 34.267803
5906   1  1 21.402423 21.402288 35.704156
5934   1  1 21.409793 24.267124 18.553281
5935   1  1 19.980356 22.837354 19.979341
5936   1  1 21.405661 24.264108 21.404291
5937   1  1 19.980531 22.835701 22.835827
5938   1  1 21.406419 24.260666 24.261650
5939   1  1 19.983492 22.838520 25.696441
5940   1  1 21.412031 24.266824 27.126205
5941   1  1 19.983393 22.838703 28.553019
5942   1  1 21.410465 24.265241 29.982018
5943   1  1 19.981967 22.837015 31.410282
5944   1  1 21.402634 24.257274 32.848332
5945   1  1 19.978222 22.833724 34.271923
5946   1  1 21.402440 24.262294 35.704777
5947   1  1 19.978923 22.836546 37.127738
5948   1  1 21.408681 24.266389 38.553890
5974   1  1 21.410882 27.124968 18.554435
5975   1  1 19.981446 25.695835 19.980302
5976   1  1 21.407864 27.124445 21.406305
5977   1  1 19.982122 25.694236 22.836193
5978   1  1 21.409386 27.121798 24.263004
5979   1  1 19.984961 25.693375 25.694344
5980   1  1 21.414133 27.119264 27.122564
5981   1  1 19.986103 25.695039 28.554013
5982   1  1 21.412897 27.118334 29.988422
5983   1  1 19.983493 25.692152 31.413943
5984   1  1 21.406511 27.121629 32.846482
5985   1  1 19.980047 25.693475 34.271639
5986   1  1 21.404682 27.124098 35.702863
5987   1  1 19.979968 25.695389 37.126945
5988   1  1 21.409712 27.124564 38.552993
6014   1  1 21.411801 29.981774 18.555061
6015   1  1 19.982589 28.553494 19.981375
6016   1  1 21.409510 29.982716 21.407999
6017   1  1 19.983618 28.552627 22.837696
6018   1  1 21.410917 29.981265 24.265759
