,idav,idsps,type,iters,ntrans,emax,barrier,prefactor,ebias,dtot,dmag,dmax,dsum,adsum,nad,dtotfs,dmagfs,dmaxfs,dsumfs,adsumfs,nadfs,dtotfi,dmagfi,dmaxfi,dsumfi,adsumfi,nadfi,isConnect
0,0,0,1,103,24,0.646,0.646,1.0,0.553,2.831,0.863,0.805,0.569,2.638,18,1.373,0.396,0.358,0.44,1.314,12,3.195,1.213,1.162,1.008,3.011,10,1
1,0,1,2,107,25,0.647,0.646,1.0,0.553,2.831,0.863,0.805,0.569,2.638,18,1.373,0.396,0.358,0.44,1.314,12,3.195,1.213,1.162,1.008,3.011,10,1
2,0,2,3,103,24,0.646,0.646,1.0,0.553,2.831,0.863,0.805,0.569,2.638,18,1.373,0.396,0.358,0.44,1.314,12,3.195,1.213,1.162,1.008,3.011,10,1
3,0,3,4,104,24,0.646,0.646,1.0,0.553,2.831,0.863,0.805,0.569,2.638,18,1.373,0.396,0.358,0.44,1.314,12,3.195,1.213,1.162,1.008,3.011,10,1
4,0,4,5,103,24,0.647,0.646,1.0,0.553,2.831,0.863,0.805,0.569,2.638,18,1.373,0.396,0.358,0.44,1.314,12,3.195,1.213,1.162,1.008,3.011,10,1
5,0,5,6,103,24,0.646,0.646,1.0,0.553,2.831,0.863,0.805,0.569,2.638,18,1.373,0.396,0.358,0.44,1.314,12,3.195,1.213,1.162,1.008,3.011,10,1
6,0,6,7,104,24,0.646,0.646,1.0,0.553,2.831,0.863,0.805,0.569,2.638,18,1.373,0.396,0.358,0.44,1.314,12,3.195,1.213,1.162,1.008,3.011,10,1
7,0,7,8,104,24,0.646,0.646,1.0,0.553,2.831,0.863,0.805,0.569,2.638,18,1.373,0.396,0.358,0.44,1.314,12,3.195,1.213,1.162,1.008,3.011,10,1
