,idav,idsps,type,iters,ntrans,emax,barrier,prefactor,ebias,dtot,dmag,dmax,dsum,adsum,nad,dtotfs,dmagfs,dmaxfs,dsumfs,adsumfs,nadfs,dtotfi,dmagfi,dmaxfi,dsumfi,adsumfi,nadfi,isConnect
0,0,0,1,881,137,1.818,0.307,1.0,0.005,7.544,0.989,0.508,0.554,6.765,64,7.471,0.964,0.495,0.678,6.689,64,13.545,1.761,0.968,1.027,12.194,59,1
1,0,2,3,2197,303,17.669,0.306,1.0,0.004,7.633,0.989,0.508,0.616,6.846,65,7.522,0.965,0.495,0.799,6.743,65,13.662,1.762,0.968,1.27,12.309,59,1
2,0,3,4,905,139,1.238,0.306,1.0,0.004,7.633,0.989,0.508,0.612,6.846,65,7.529,0.965,0.495,0.788,6.749,65,13.668,1.762,0.968,1.257,12.313,59,1
3,0,7,8,1353,200,5.836,0.306,1.0,0.005,7.521,0.989,0.508,0.55,6.741,64,7.429,0.963,0.494,0.67,6.653,65,13.456,1.761,0.968,1.148,12.116,59,1
4,0,8,9,1291,191,5.429,0.307,1.0,0.005,7.546,0.989,0.508,0.55,6.766,65,7.486,0.964,0.495,0.707,6.701,65,13.563,1.761,0.968,1.056,12.208,59,1
