,idav,idsps,type,iters,ntrans,emax,barrier,prefactor,ebias,dtot,dmag,dmax,dsum,adsum,nad,dtotfs,dmagfs,dmaxfs,dsumfs,adsumfs,nadfs,dtotfi,dmagfi,dmaxfi,dsumfi,adsumfi,nadfi,isConnect
0,0,1,2,943,143,2.061,0.307,1.0,0.006,7.343,0.988,0.508,0.503,6.583,64,7.335,0.962,0.494,0.812,6.566,65,13.224,1.759,0.968,1.236,11.905,59,1
1,0,2,3,1019,153,2.17,0.307,1.0,0.005,7.344,0.988,0.508,0.579,6.584,63,7.301,0.962,0.494,0.772,6.537,64,13.184,1.76,0.967,1.286,11.871,59,1
2,0,3,4,913,142,1.106,0.306,1.0,0.005,7.49,0.99,0.509,0.643,6.715,64,7.364,0.963,0.495,0.754,6.598,65,13.374,1.761,0.968,1.243,12.045,59,1
3,0,4,5,1867,278,17.807,0.306,1.0,0.005,7.493,0.989,0.509,0.701,6.719,65,7.3,0.963,0.494,0.675,6.538,64,13.339,1.761,0.968,1.216,12.013,59,1
4,0,5,6,865,135,1.347,0.307,1.0,0.005,7.376,0.988,0.508,0.425,6.614,63,7.357,0.963,0.494,0.834,6.587,65,13.28,1.76,0.968,1.157,11.955,58,1
5,0,6,7,1283,188,4.841,0.306,1.0,0.005,7.488,0.989,0.509,0.629,6.714,65,7.348,0.963,0.494,0.78,6.58,65,13.379,1.76,0.968,1.25,12.049,59,1
6,0,7,8,1015,153,1.378,0.307,1.0,0.005,7.38,0.988,0.508,0.545,6.619,63,7.301,0.963,0.494,0.745,6.537,64,13.246,1.76,0.967,1.197,11.926,59,1
