,idav,barrier,prefactor,ebias,dmag,dmax,dsum,dsumr,dmagfi,dmaxfi,dsumfi,dsumrfi,isConnect,probability,isSel
0,0,0.306,1.000,0.004,0.989,0.508,0.598,0.088,1.761,0.968,1.294,0.106,1,15.943,0
1,0,0.306,1.000,0.004,0.989,0.508,0.626,0.092,1.761,0.968,1.217,0.100,1,15.943,1
2,0,0.306,1.000,0.005,0.989,0.508,0.611,0.090,1.761,0.968,1.104,0.091,1,15.943,0
3,0,0.418,1.000,0.416,1.132,0.539,0.331,0.037,1.230,0.569,0.344,0.036,1,3.141,0
4,0,0.306,1.000,0.005,0.989,0.508,0.587,0.087,1.761,0.968,1.153,0.095,1,15.943,0
5,0,0.306,1.000,0.005,0.989,0.508,0.571,0.085,1.761,0.968,1.215,0.100,1,15.943,0
