,idav,barrier,prefactor,ebias,dmag,dmax,dsum,dsumr,dmagfi,dmaxfi,dsumfi,dsumrfi,isConnect,probability,isSel
0,0,0.091,1.000,-0.548,0.418,0.377,0.252,0.171,1.218,1.165,1.307,0.419,1,50.000,0
1,0,0.091,1.000,-0.548,0.418,0.379,0.521,0.365,1.215,1.163,0.990,0.320,1,50.000,1
