,idav,idsps,type,iters,ntrans,emax,barrier,prefactor,ebias,dtot,dmag,dmax,dsum,adsum,nad,dtotfs,dmagfs,dmaxfs,dsumfs,adsumfs,nadfs,dtotfi,dmagfi,dmaxfi,dsumfi,adsumfi,nadfi,isConnect
0,0,0,1,100,161,7.565,0.642,1.0,0.55,3.019,0.868,0.805,0.592,2.829,18,1.487,0.4,0.359,0.463,1.425,16,3.29,1.217,1.164,1.055,3.102,11,1
1,0,1,2,100,162,7.414,0.642,1.0,0.55,3.019,0.868,0.805,0.592,2.829,18,1.487,0.4,0.359,0.463,1.425,16,3.29,1.217,1.164,1.055,3.102,11,1
2,0,2,3,99,162,7.313,0.642,1.0,0.55,3.026,0.868,0.805,0.569,2.834,18,1.488,0.4,0.359,0.472,1.425,16,3.289,1.217,1.164,1.041,3.101,11,1
3,0,3,4,99,176,9.135,0.642,1.0,0.55,3.026,0.868,0.805,0.569,2.834,18,1.488,0.4,0.359,0.472,1.425,16,3.289,1.217,1.164,1.041,3.101,11,1
4,0,4,5,91,173,8.732,0.642,1.0,0.55,3.0,0.867,0.805,0.503,2.807,17,1.47,0.4,0.359,0.502,1.406,15,3.286,1.216,1.164,1.004,3.098,11,1
5,0,7,8,100,167,8.455,0.642,1.0,0.55,3.025,0.868,0.805,0.569,2.834,18,1.488,0.4,0.359,0.472,1.424,16,3.289,1.217,1.164,1.041,3.101,11,1
