,idav,barrier,prefactor,ebias,dmag,dmax,dsum,dsumr,dmagfi,dmaxfi,dsumfi,dsumrfi,isConnect,probability,isSel
0,0,6.022,5.000,5.917,3.627,2.052,4.839,0.371,4.002,2.232,5.353,0.390,1,0.000,0
1,0,0.645,5.000,0.552,0.863,0.804,0.535,0.201,1.213,1.162,0.989,0.328,1,50.000,1
2,0,6.124,5.000,6.089,3.534,1.911,4.468,0.346,3.913,2.272,4.855,0.355,1,0.000,0
3,0,2.630,5.000,0.002,1.710,1.508,1.177,0.226,2.948,2.932,2.662,0.609,1,0.000,0
4,0,0.645,5.000,0.552,0.863,0.804,0.535,0.201,1.213,1.162,0.989,0.328,1,50.000,0
