,idav,idsps,type,iters,ntrans,emax,barrier,prefactor,ebias,dtot,dmag,dmax,dsum,adsum,nad,dtotfs,dmagfs,dmaxfs,dsumfs,adsumfs,nadfs,dtotfi,dmagfi,dmaxfi,dsumfi,adsumfi,nadfi,isConnect,reason
0,0,8,9,1713,226,14.157,0.646,5.0,0.002,3.86,1.588,1.539,1.285,3.697,8,2.796,0.849,0.79,0.987,2.623,18,4.364,2.351,2.329,2.272,4.197,7,0,Conn
1,0,6,7,7023,894,28.043,0.667,5.0,0.01,6.648,2.744,2.211,3.19,6.392,11,2.782,0.862,0.803,1.391,2.608,18,6.816,3.366,2.372,4.578,6.635,2,0,Conn
2,0,5,6,1325,176,9.876,1.138,5.0,1.1,4.98,1.518,1.124,1.411,4.649,22,0.962,0.265,0.234,0.418,0.897,18,5.279,1.72,1.189,1.822,4.961,21,0,Conn
3,0,3,4,2365,307,15.248,0.646,5.0,0.002,3.859,1.588,1.539,1.286,3.697,8,2.796,0.849,0.79,0.986,2.623,18,4.364,2.351,2.329,2.272,4.197,7,0,Conn
4,0,2,3,5381,686,15.321,0.646,5.0,0.002,3.86,1.588,1.539,1.285,3.697,8,2.796,0.849,0.79,0.987,2.623,18,4.364,2.351,2.329,2.272,4.197,7,0,Conn
