,idav,idsps,type,iters,ntrans,emax,barrier,prefactor,ebias,dtot,dmag,dmax,dsum,adsum,nad,dtotfs,dmagfs,dmaxfs,dsumfs,adsumfs,nadfs,dtotfi,dmagfi,dmaxfi,dsumfi,adsumfi,nadfi,isConnect
0,0,0,1,2049,269,15.4,6.022,5.0,5.917,14.017,3.627,2.052,4.839,13.034,23,2.646,0.528,0.304,0.538,2.322,40,14.75,4.002,2.232,5.353,13.717,20,1
1,0,4,5,649,93,3.292,0.645,5.0,0.552,2.857,0.863,0.804,0.535,2.656,18,1.388,0.397,0.358,0.458,1.322,12,3.205,1.213,1.162,0.989,3.019,10,1
2,0,6,7,2083,274,12.311,6.124,5.0,6.089,13.863,3.534,1.911,4.468,12.9,30,2.716,0.555,0.375,0.582,2.46,40,14.64,3.913,2.272,4.855,13.664,22,1
3,0,7,8,875,131,4.088,2.63,5.0,0.002,6.043,1.71,1.508,1.177,5.204,18,6.096,1.699,1.493,1.575,5.27,19,5.002,2.948,2.932,2.662,4.372,1,1
4,0,8,9,913,138,8.414,0.645,5.0,0.552,2.857,0.863,0.804,0.535,2.656,18,1.388,0.397,0.358,0.458,1.322,12,3.205,1.213,1.162,0.989,3.019,10,1
