istep,ground_energy,nDefect,defect_center_xs,defect_center_ys,defect_center_zs,nBasin,nSP_thisbasin,nSP_superbasin,iSP_selected,forward_barrier,ebias,backward_barrier,time_step,simulation_time
0,-7931.079016,1,0.5,0.45,0.516388,1,3,2,0,0.645,0.552,0.093,8168848130.979955,8168848130.979955
1,-7912.991167,1,0.450004,0.425002,0.508193,1,2,1,0,0.092,-0.545,0.637,4.657525,8168848135.63748
2,-7913.560836,1,0.4,0.4,0.499998,1,5,4,1,0.645,0.552,0.093,10843526173.353815,19012374308.991295
