istep,ground_energy,nDefect,defect_center_xs,defect_center_ys,defect_center_zs,nBasin,nSP_thisbasin,nSP_superbasin,iSP_selected,forward_barrier,ebias,backward_barrier,time_step,simulation_time
0,-64202.467457,1,0.525268,0.502783,0.503012,1,6,5,0,0.306,0.005,0.301,27.451872,27.451872
1,-64202.46745,1,0.535839,0.536079,0.482499,2,6,10,6,0.306,0.004,0.302,13.939618,41.391491
2,-64202.467454,1,0.575267,0.552781,0.453013,3,7,15,11,0.307,0.005,0.302,4.992977,46.384467
3,-64202.467443,1,0.538317,0.531183,0.428829,4,5,18,5,0.306,0.004,0.302,17.596837,63.981304
