,idav,idsps,type,iters,ntrans,emax,barrier,prefactor,ebias,dtot,dmag,dmax,dsum,adsum,nad,dtotfs,dmagfs,dmaxfs,dsumfs,adsumfs,nadfs,dtotfi,dmagfi,dmaxfi,dsumfi,adsumfi,nadfi,isConnect,reason
0,0,1,2,1865,346,6.812,0.646,1.0,0.553,2.831,0.863,0.805,0.569,2.638,18,1.373,0.396,0.358,0.44,1.314,12,3.195,1.213,1.162,1.008,3.011,10,1,DupAV
1,0,2,3,1722,339,7.844,0.646,1.0,0.553,2.832,0.863,0.804,0.569,2.639,18,1.374,0.396,0.358,0.44,1.314,12,3.195,1.213,1.162,1.008,3.011,10,1,DupAV
2,0,3,4,2729,474,11.209,0.646,1.0,0.553,2.832,0.863,0.804,0.569,2.639,18,1.374,0.396,0.358,0.44,1.314,12,3.195,1.213,1.162,1.008,3.011,10,1,DupAV
3,0,4,5,2578,495,11.372,0.646,1.0,0.553,2.832,0.863,0.804,0.569,2.639,18,1.374,0.396,0.358,0.44,1.314,12,3.195,1.213,1.162,1.008,3.011,10,1,DupAV
