istep,ground_energy,nDefect,defect_center_xs,defect_center_ys,defect_center_zs,nBasin,nSP_thisbasin,nSP_superbasin,iSP_selected,forward_barrier,ebias,backward_barrier,time_step,simulation_time
0,-8020.230403,2,0.929189,0.929189,0.929189,1,6,5,2,0.642,0.55,0.092,8504.144679,8504.144679
1,-8019.681604,2,0.479859,0.920141,0.920141,1,2,1,1,0.091,-0.548,0.639,0.13319,8504.277869
