,type,x,y,z
136,1,5.709384,2.854443,2.854443
137,1,-4.276480,-4.276480,-4.276480
138,1,-4.276480,-4.276480,4.276480
139,1,-4.276480,4.276480,-4.276480
140,1,-4.276480,4.276480,4.276480
141,1,4.276480,-4.276480,-4.276480
142,1,4.276480,-4.276480,4.276480
143,1,4.276480,4.276480,-4.276480
144,1,4.276480,4.276480,4.276480
145,1,-7.138496,-1.427732,-1.427732
146,1,-7.138496,-1.427732,1.427732
147,1,-7.138496,1.427732,-1.427732
148,1,-7.138496,1.427732,1.427732
149,1,-1.427732,-7.138496,-1.427732
150,1,-1.427732,-7.138496,1.427732
151,1,-1.427732,-1.427732,-7.138496
152,1,-1.427732,-1.427732,7.138496
153,1,-1.427732,1.427732,-7.138496
154,1,-1.427732,1.427732,7.138496
155,1,-1.427732,7.138496,-1.427732
156,1,-1.427732,7.138496,1.427732
157,1,1.427732,-7.138496,-1.427732
158,1,1.427732,-7.138496,1.427732
159,1,1.427732,-1.427732,-7.138496
160,1,1.427732,-1.427732,7.138496
161,1,1.427732,1.427732,-7.138496
162,1,1.427732,1.427732,7.138496
163,1,1.427732,7.138496,-1.427732
164,1,1.427732,7.138496,1.427732
165,1,7.138496,-1.427732,-1.427732
166,1,7.138496,-1.427732,1.427732
167,1,7.138496,1.427732,-1.427732
168,1,7.138496,1.427732,1.427732
